datasetid,title,description,theme,keyword,license,language,modified,data_processed,metadata_processed,publisher,references,odi_certificate_url,records_count,attributions,source_domain,source_domain_title,source_domain_address,source_dataset,oauth_scope,dcat.created,dcat.issued,dcat.creator,dcat.contributor,dcat.accrualperiodicity,dcat.spatial,dcat.temporal,dcat.granularity,dcat.dataquality,inspire.file_identifier,inspire.hierarchy_level,inspire.hierarchy_level_name,inspire.contact_individual_name,inspire.contact_position,inspire.contact_address,inspire.contact_email,inspire.identification_purpose,inspire.extend_description,inspire.extend_bounding_box_westbound_longitude,inspire.extend_bounding_box_eastbound_longitude,inspire.extend_bounding_box_southbound_latitude,inspire.extend_bounding_box_northbound_latitude,explore.download_count
limites-administratives-des-epci-du-maine-et-loire,Limites administratives des EPCI du Maine-et-Loire,"<p>
	Limite administrative des Établissements Publics de Coopération Intercommunale (EPCI) de Maine-et-Loire.
</p>
<p>
	Détail des données
</p>
<p>
	Système de projection RGF93 Lambert 93 / WGS84<br>
	Échelle : 1/100000<br>
	<strong>Données attributaires :</strong><br>
	NOM : nom de l'EPCI<br>
	N_EPCI : code INSEE de l'EPCI<br>
	NATURE_EPCI : nature de l'EPCI (CA = communauté d'agglomération ; CC = communauté de communes)<br>
	ADRESSE : adresse postale du siège de l'EPCI<br>
	CP : code postal du siège de l'EPCI<br>
	SIEGE : commune du siège de l'EPCI<br>
	TELEPHONE : numéro de téléphone de l'EPCI<br>
	FAX : numéro de fax de l'EPCI<br>
	MAIL : adresse courriel de l'EPCI<br>
	WEB : site internet officiel de l'EPCI
</p>",Territoire,EPCI,ODbL,fr,2013-12-26T16:05:03+00:00,,,Département de Maine-et-Loire,,,30,,,,,,,,2012-05-29,Département de Maine-et-Loire,,,,,,,,,,,,,,,,,,,,24
liste_epci_maine_et_loire,Liste des EPCI du Maine-et-Loire,"<p>
	Liste des Établissements Publics de Coopération Intercommunale (EPCI) de Maine-et-Loire.
</p>
<p>
	Description des données
</p>
<p>
	NOM : nom de l'EPCI<br>
	INSEE : code INSEE de l'EPCI<br>
	NATURE_EPCI : nature de l'EPCI (CA = communauté d'agglomération ; CC = communauté de communes)<br>
	ADRESSE : adresse postale du siège de l'EPCI<br>
	CP : code postal du siège de l'EPCI<br>
	SIEGE : commune du siège de l'EPCI<br>
	TELEPHONE : numéro de téléphone de l'EPCI<br>
	FAX : numéro de fax de l'EPCI<br>
	MAIL : adresse courriel de l'EPCI
</p>
<p>
	WEB : site internet officiel de l'EPCI
</p>",Territoire,EPCI,ODbL,fr,2013-12-26T16:05:57+00:00,2015-06-11T09:55:01+00:00,2015-07-01T07:55:01+00:00,Département de Maine-et-Loire,,,30,,,,,,,,2013-12-03,Département de Maine-et-Loire,,,,,,,,,,,,,,,,,,,,20
nyc-theaters,NYC Theaters,"<p>
	Listing of NYC Theaters
</p>",Culture,"theater, entertainment, map",,en,2013-12-26T16:27:48+00:00,,,NYC/Department of Information Technology & Telecommunications (DoITT),https://data.cityofnewyork.us/Recreation/Theaters/kdu2-865w,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
nyc-museums-and-galleries,NYC Museums and Galleries,"<p>
	NYC Museums and Galleries
</p>",Culture,"art, culture, map, museum, gallery",,en,2013-12-26T16:35:11+00:00,,,NYC/Department of Information Technology & Telecommunications (DoITT),https://data.cityofnewyork.us/Recreation/Museums-and-Galleries/sat5-adpb,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
nyc-wifi-hotspot-locations,NYC Wifi Hotspot Locations,"<p>
	Location of wifi hotspots in NYC with basic descriptive information
</p>",Services,"wifi, wireless, services, telecommunication, hot spot, map",,en,2013-12-26T17:03:32+00:00,,,NYC/Department of Information Technology & Telecommunications (DoITT),https://data.cityofnewyork.us/Recreation/Wifi-Hotspot-Locations/ehc4-fktp,,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
nyc-parking-spots,NYC Parking Spots,"<p>
	A list of all parking facilities in New York City
</p>",Transportation,"parking spot, parking facility, car, automobile, map",,en,2013-12-26T17:49:34+00:00,,,NYC/Department of Consumer Affairs (DCA),https://data.cityofnewyork.us/Transportation/NYC-Parking-Spots/nxab-ch29,,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
openstreetmap-pois-california,"OpenStreetMap POIs - California, USA","<p>
	 OpenStreetMap Points of Interest in California, USA.
</p>
<p>
	© OpenStreetMap contributors
</p>","Services, Social","openstreetmap, POI, california, map",http://www.openstreetmap.org/copyright/en,en,2013-12-27T14:01:54+00:00,,,OpenStreetMap,http://download.geofabrik.de/north-america.html,,58782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
openstreetmap-pois-new-york-usa,"OpenStreetMap POIs - New York, USA","<p>
	OpenStreetMap Points of Interest in New York, USA.
</p>
<p>
	© OpenStreetMap contributors
</p>","Services, Social","openstreetmap, POI, new york, map",http://www.openstreetmap.org/copyright/en,en,2013-12-27T14:21:47+00:00,,,OpenStreetMap,http://download.geofabrik.de/north-america.html,,36626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
school-improvement-2010-grants-map-view0,"School Improvement 2010 Grants, USA","<p>
	 <span style=""line-height: 1.45em;"">Since President Obama took office, Congress has appropriated more than $4 billion to help turn around the nation's lowest-performing schools. States were awarded nearly $3.5 billion in School Improvement Grant funds in 2010 to turn around their persistently lowest achieving schools. School districts then applied to state for the funds this spring. When school districts applied, they were required to indicate that they would implement one of the following four models in their persistently lowest achieving schools:</span>
</p>
<p>
	 <span style=""line-height: 1.45em;"">Turnaround Model: Replace the principal, screen existing school staff, and rehire no more than half the teachers; adopt a new governance structure; and improve the school through curriculum reform, professional development, extending learning time, and other strategies.</span>
</p>
<p>
	 <span style=""line-height: 1.45em;"">Restart Model: Convert a school or close it and re-open it as a charter school or under an education management organization.</span>
</p>
<p>
	 <span style=""line-height: 1.45em;"">School Closure: Close the school and send the students to higher-achieving schools in the district.</span>
</p>
<p>
	 <span style=""line-height: 1.45em;"">Transformation Model: Replace the principal and improve the school through comprehensive curriculum reform, professional development, extending learning time, and other strategies.</span>
</p>
<p>
	     source: <a href=""https://explore.data.gov/Education/School-Improvement-2010-Grants-Map-View/b5in-8tnq"">https://explore.data.gov/Education/School-Improvement-2010-Grants-Map-View/b5in-8tnq</a>
</p>",Education,"school improvement grants, schools",,en,2013-12-27T19:56:33+00:00,,,USA/Office of Elementary and Secondary Education,,,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
openstreetmap-pois-usa,OpenStreetMap POIs - USA,"<p>
	OpenStreetMap Points of Interest in the USA.
</p>
<p>
	© OpenStreetMap contributors
</p>","Services, Social","openstreetmap, POI, USA, map",http://www.openstreetmap.org/copyright/en,en,2014-01-03T11:37:05+00:00,2015-06-01T05:19:40+00:00,2015-06-28T13:55:01+00:00,OpenStreetMap,http://download.geofabrik.de/north-america.html,,747977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
bpe_ensemble,Base Permanente des Équipements,"<p>
	La base permanente des équipements (BPE) contient pour chaque territoire la liste des équipements et des services rendus à la population.
</p>
<p>
	Cette base permet de mesurer la présence ou l'absence d'un équipement, la densité d'un équipement ou un indicateur de disponibilité d'un équipement du point de vue des habitants. Ces données sont disponibles par région, département, commune ou quartier IRIS.
</p>","Services, Social","Service public, Equipements",http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,fr,2014-01-04T09:29:01+00:00,2015-06-22T07:55:01+00:00,2015-07-17T07:55:02+00:00,INSEE,http://www.insee.fr/fr/themes/detail.asp?reg_id=99&ref_id=fd-bpe11&page=fichiers_detail/bpe11/telechargement.htm,,1418873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264
fire-houses-nyc,"​Fire Houses, NYC","<p>
	<span style=""line-height: 1.45em;"">Listing of all the fire houses in New York City</span>
</p>
<p>
	<span style=""line-height: 1.45em;"">source: </span><span style=""line-height: 1.45em;""></span><a href=""https://data.cityofnewyork.us/Public-Safety/Map-of-NYC-Fire-Houses/pg99-2ihy"" style=""line-height: 1.45em;"">https://data.cityofnewyork.us/Public-Safety/Map-of-NYC-Fire-Houses/pg99-2ihy</a>
</p>",Public Safety,"fire department, fdny, fd, fires, station, fire station, fire house, emergency, 911",,en,2014-01-04T09:45:46+00:00,2015-06-01T05:19:35+00:00,2015-06-28T18:55:00+00:00,NYC/Fire Department of New York City (FDNY),,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
assistantes-maternelles-antony,Assistantes maternelles à Antony,"<p>Listes des assistantes maternelles de la ville d'antony. Générée à partir de la liste édité par la ville d'Antony, au 4 décembre 2013</p>","Services, Social","antony, assistante maternelle",,en,2014-01-17T14:51:48+00:00,,,,,,224,,,,,,,2014-01-17,2014-01-17,,,,,,,,,,,,,,,,,,,,,5
resultat_ballon_d_or_2014,Résultats Ballon d'Or FIFA 2013,"<p>Résultats du Ballon d'Or FIFA 2013, révélés le 13 janvier 2014.</p><p>Extraits du fichier officiel de la FIFA.</p>","Sport, Loisirs","Football, Ballon d'Or, FIFA, Ribéry Franck, Ronaldo Cristiano, Messi Lionel",,,2014-01-17T16:02:06+00:00,,,FIFA,http://www.fifa.com/mm/document/ballond'or/playeroftheyear(men)/02/26/02/68/fboaward_menplayer2013_neutral.pdf,,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
